,-1.5,-1.39474,-1.28947,-1.18421,-1.07895,-0.973684,-0.868421,-0.763158,-0.657895,-0.552632,-0.447368,-0.342105,-0.236842,-0.131579,-0.0263158,0.0789474,0.184211,0.289474,0.394737,0.5,
-1.2,2.49722,2.32429,2.17438,2.04681,1.94066,1.85485,1.78818,1.73946,1.70765,1.69195,1.69195,1.70765,1.73946,1.78818,1.85485,1.94066,2.04681,2.17438,2.32429,2.49722,
-1.09565,2.23712,2.06555,1.91757,1.79245,1.68917,1.60645,1.54281,1.49675,1.46691,1.45227,1.45227,1.46691,1.49675,1.54281,1.60645,1.68917,1.79245,1.91757,2.06555,2.23712,
-0.991304,1.99622,1.82579,1.67967,1.55714,1.45706,1.37792,1.31789,1.27506,1.24766,1.23433,1.23433,1.24766,1.27506,1.31789,1.37792,1.45706,1.55714,1.67967,1.82579,1.99622,
-0.886957,1.77429,1.60466,1.46021,1.34029,1.24373,1.16872,1.11304,1.07418,1.04982,1.03813,1.03813,1.04982,1.07418,1.11304,1.16872,1.24373,1.34029,1.46021,1.60466,1.77429,
-0.782609,1.57125,1.40183,1.25864,1.14123,1.04843,0.978199,0.927734,0.893793,0.873247,0.863644,0.863644,0.873247,0.893793,0.927734,0.978199,1.04843,1.14123,1.25864,1.40183,1.57125,
-0.678261,1.38717,1.2171,1.07445,0.95915,0.87023,0.805453,0.761312,0.733513,0.717808,0.710862,0.710862,0.717808,0.733513,0.761312,0.805453,0.87023,0.95915,1.07445,1.2171,1.38717,
-0.573913,1.22247,1.05055,0.907241,0.793193,0.707978,0.64934,0.612902,0.592846,0.583315,0.579762,0.579762,0.583315,0.592846,0.612902,0.64934,0.707978,0.793193,0.907241,1.05055,1.22247,
-0.469565,1.07812,0.902775,0.756996,0.642567,0.560292,0.508395,0.481431,0.471244,0.469588,0.470326,0.470326,0.469588,0.471244,0.481431,0.508395,0.560292,0.642567,0.756996,0.902775,1.07812,
-0.365217,0.955903,0.775342,0.624564,0.506908,0.425622,0.380783,0.365717,0.368276,0.37655,0.38255,0.38255,0.37655,0.368276,0.365717,0.380783,0.425622,0.506908,0.624564,0.775342,0.955903,
-0.26087,0.858641,0.671362,0.512657,0.387249,0.302545,0.264298,0.264931,0.284171,0.304478,0.316476,0.316476,0.304478,0.284171,0.264931,0.264298,0.302545,0.387249,0.512657,0.671362,0.858641,
-0.156522,0.790157,0.595974,0.427456,0.288747,0.191124,0.156526,0.180436,0.221162,0.254416,0.272228,0.272228,0.254416,0.221162,0.180436,0.156526,0.191124,0.288747,0.427456,0.595974,0.790157,
-0.0521739,0.754528,0.555731,0.379593,0.226945,0.10222,0.0569788,0.123143,0.185514,0.228386,0.250012,0.250012,0.228386,0.185514,0.123143,0.0569788,0.10222,0.226945,0.379593,0.555731,0.754528,
0.0521739,0.754528,0.555731,0.379593,0.226945,0.10222,0.0569788,0.123143,0.185514,0.228386,0.250012,0.250012,0.228386,0.185514,0.123143,0.0569788,0.10222,0.226945,0.379593,0.555731,0.754528,
0.156522,0.790157,0.595974,0.427456,0.288747,0.191124,0.156526,0.180436,0.221162,0.254416,0.272228,0.272228,0.254416,0.221162,0.180436,0.156526,0.191124,0.288747,0.427456,0.595974,0.790157,
0.26087,0.858641,0.671362,0.512657,0.387249,0.302545,0.264298,0.264931,0.284171,0.304478,0.316476,0.316476,0.304478,0.284171,0.264931,0.264298,0.302545,0.387249,0.512657,0.671362,0.858641,
0.365217,0.955903,0.775342,0.624564,0.506908,0.425622,0.380783,0.365717,0.368276,0.37655,0.38255,0.38255,0.37655,0.368276,0.365717,0.380783,0.425622,0.506908,0.624564,0.775342,0.955903,
0.469565,1.07812,0.902775,0.756996,0.642567,0.560292,0.508395,0.481431,0.471244,0.469588,0.470326,0.470326,0.469588,0.471244,0.481431,0.508395,0.560292,0.642567,0.756996,0.902775,1.07812,
0.573913,1.22247,1.05055,0.907241,0.793193,0.707978,0.64934,0.612902,0.592846,0.583315,0.579762,0.579762,0.583315,0.592846,0.612902,0.64934,0.707978,0.793193,0.907241,1.05055,1.22247,
0.678261,1.38717,1.2171,1.07445,0.95915,0.87023,0.805453,0.761312,0.733513,0.717808,0.710862,0.710862,0.717808,0.733513,0.761312,0.805453,0.87023,0.95915,1.07445,1.2171,1.38717,
0.782609,1.57125,1.40183,1.25864,1.14123,1.04843,0.978199,0.927734,0.893793,0.873247,0.863644,0.863644,0.873247,0.893793,0.927734,0.978199,1.04843,1.14123,1.25864,1.40183,1.57125,
0.886957,1.77429,1.60466,1.46021,1.34029,1.24373,1.16872,1.11304,1.07418,1.04982,1.03813,1.03813,1.04982,1.07418,1.11304,1.16872,1.24373,1.34029,1.46021,1.60466,1.77429,
0.991304,1.99622,1.82579,1.67967,1.55714,1.45706,1.37792,1.31789,1.27506,1.24766,1.23433,1.23433,1.24766,1.27506,1.31789,1.37792,1.45706,1.55714,1.67967,1.82579,1.99622,
1.09565,2.23712,2.06555,1.91757,1.79245,1.68917,1.60645,1.54281,1.49675,1.46691,1.45227,1.45227,1.46691,1.49675,1.54281,1.60645,1.68917,1.79245,1.91757,2.06555,2.23712,
1.2,2.49722,2.32429,2.17438,2.04681,1.94066,1.85485,1.78818,1.73946,1.70765,1.69195,1.69195,1.70765,1.73946,1.78818,1.85485,1.94066,2.04681,2.17438,2.32429,2.49722,
